"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1448,592866,"Williams, Trevor",1448,100,0.31,0.167,0.348,0.477,0.352,0.326,0.278,106,342,88.8,17.4,2104,83.2,84.22,134,676,772,1,6.89,111,148,120,149,302,321,301,"-10.1","10.1","70.0","7.1",373,285,74,18,3,11,65,17.4,21,5.6,2.72862,0.59345,0.0394,-0.06437,"91.8",168,40.845070422535215,8.450704225352112,6.434316353887399,4.95,-2.44,-0.11,2,0.347,24,"0.697513812",0.322,0.424,"-0.697513812",0.032,0.024999999999999967,0.053,0.026,19.8,"16.3",8.969034145516055,-1.8799712055836988,34.56673657567158,0.3978494623655914,36.33739430379225,32.09238633003396
1339,671131,"Rutledge, Jackson",1341,99.9,0.297,0.218,0.327,0.515,0.374,0.336,0.259,87,293,90.5,16.4,2135,90.9,91.05,160,633,706,0.09999999999999432,6.35,111,148,122,148,302,323,298,"-19.172","19.172","69.6","7.2",331,234,56,14,1,16,65,19.6,25,7.6,2.19719,0.58659,0.68523,0.0306,"92.4",153,49.35622317596567,9.871244635193133,6.948640483383686,6.06,-2.24,0.15,2.62,0.361,23,"1.431814787",0.329,0.444,"-1.431814787",0.038,0.03199999999999997,0.071,0.038,25.3,"32.2",10.6172701208533,-1.0511651117617935,30.547018593734244,0.5080385852090032,37.44463070130543,30.807604756542496
1253,693645,"Schlittler, Cam",1253,100,0.217,0.12,0.284,0.337,0.291,0.313,0.231,58,267,89,14.5,2467,94.3,94.38,164,628,625,0.10000000000000853,6.33,113,148,124,152,292,323,283,"6.389","-6.389","70.3","6.8",304,184,42,8,0,8,84,27.6,31,10.2,1.83223,0.76034,0.10411,-0.00387,"90.9",178,40.43715846994536,8.19672131147541,4.934210526315789,6.39,-1.88,-0.03,2.68,0.309,15,"-0.509896249",0.323,0.376,"0.509896249",-0.014,-0.014000000000000012,-0.039,-0.022,26.1,"41.8",4.52849992819132,8.70995053313679,29.93985128064352,0.4410339256865913,36.96688845822337,24.451052036576442
1226,657376,"Schmidt, Clarke",1227,99.9,0.199,0.152,0.233,0.351,0.277,0.273,0.2,56,282,87.9,19.2,2876,89.1,88.85,155,583,643,-0.29999999999999716,6.11,115,149,121,151,295,324,290,"9.989","-9.989","70.6","7.1",316,212,33,12,2,9,73,23.1,30,9.5,2.61151,0.28,-0.32827,-0.03561,"91.8",173,35.37735849056604,6.60377358490566,4.430379746835443,5.6,-1.51,0.24,2.37,0.276,14,"-0.814763458",0.278,0.338,"0.814763458",-0.001,-0.0020000000000000018,0.013,0.004,26.6,"35.1",7.787786125704291,1.1631888442880731,31.63580052608029,0.5177935943060499,36.74514831462425,29.017454610693544
1208,678606,"Ferrer, Jose A.",1215,99.4,0.276,0.105,0.345,0.381,0.31,0.295,0.255,81,294,86.1,-0.2,2157,95,94.33,149,602,606,-0.7000000000000028,6.04,109,149,119,149,302,325,299,"1.125","-1.125","69.1","7.0",324,230,62,12,2,5,71,21.9,16,4.9,2.12957,0.42962,1.3953,-0.55559,"91.9",140,42.173913043478265,4.782608695652174,3.3950617283950617,5.81,3,-0.04,2.21,0.326,11,"-0.093129139",0.31,0.353,"0.093129139",0.021,0.016000000000000014,0.028,0.015,24.8,"32.1",4.4599563046110955,6.099093192934782,33.58939977821647,0.35144312393887944,37.55861674419702,25.397996042075263
1115,642207,"Williams, Devin",1119,99.6,0.197,0.123,0.299,0.32,0.271,0.274,0.195,45,228,89.2,10.6,2564,88.6,89.93,210,557,558,1.3000000000000114,7.35,114,149,121,151,292,323,286,"10.236","-10.236","70.5","7.3",259,140,28,11,1,5,90,34.7,25,9.7,2.54689,0.41582,1.34063,0.1217,"91.5",142,35.714285714285715,9.285714285714286,5.019305019305019,5.26,-2.44,0.05,2.34,0.287,13,"-0.918026906",0.288,0.314,"0.918026906",0.002,-0.0010000000000000009,0.006,-0.003,37.7,"21.0",10.337425583609745,-3.4945364938690315,31.503733362246507,0.4562043795620438,37.047190391893864,32.37740266538496
1113,641745,"Keller, Brad",1114,99.9,0.182,0.065,0.244,0.247,0.238,0.262,0.2,45,247,86,6.1,2370,93.3,92.66,135,502,611,-0.5999999999999943,5.91,111,150,117,152,300,321,298,"18.645","-18.645","68.7","7.1",276,173,37,4,0,4,75,27.2,22,8,1.93248,0.71113,0.07751,-0.11805,"91.0",142,30.63583815028902,5.780346820809249,3.6231884057971016,6.35,-1.53,0.03,2.25,0.265,10,"-1.675202156",0.281,0.295,"1.675202156",-0.018,-0.016000000000000014,-0.048,-0.024,26.9,"47.0",6.776062567243445,3.8227433636990393,32.057788681668825,0.4798387096774194,38.38867266192453,27.23771663591672
1049,596133,"Weaver, Luke",1053,99.6,0.195,0.169,0.229,0.364,0.269,0.269,0.195,46,236,89.7,21.6,2300,92.6,91.94,171,552,497,-0.6999999999999886,6.09,113,148,119,150,292,322,287,"9.318","-9.318","70.0","7.3",262,168,26,10,0,10,72,27.5,20,7.6,1.44451,1.24236,0.68531,-0.13918,"91.6",183,39.88095238095239,8.333333333333332,5.343511450381679,5.59,-1.52,0.01,2.33,0.258,14,"-0.888274547",0.261,0.356,"0.888274547",0,-0.0030000000000000027,0.008,0,31,"47.1",10.976143773214877,-2.843180380644262,30.458532362822382,0.550561797752809,38.627994893686456,30.523870428422295
1017,642232,"Yarbrough, Ryan",1018,99.9,0.24,0.198,0.257,0.438,0.318,0.318,0.256,58,242,85.8,15.4,2016,81.4,81.05,123,463,554,-0.30000000000001137,6.19,110,150,123,151,294,322,286,"0.646","-0.646","69.2","7.2",264,188,37,7,1,13,55,20.8,19,7.2,3.05278,0.46634,0.56301,-0.36069,"91.6",164,34.04255319148936,6.914893617021277,4.924242424242424,5.04,3.25,0.23,2.37,0.299,13,"-0.063520157",0.314,0.415,"0.063520157",-0.016,-0.015000000000000013,0.023,0,26.6,"13.0",10.418246819092847,-1.3317784017794239,33.31464460522767,0.40757238307349664,37.30470041192083,31.71468084896629
970,661563,"Gil, Luis",970,100,0.226,0.139,0.256,0.365,0.311,0.342,0.258,47,208,90.5,21.3,2342,92,92.87,92,427,543,0.9000000000000057,6.85,112,148,122,152,292,324,289,"-0.088","0.088","70.6","7.1",244,169,28,14,0,5,41,16.8,33,13.5,1.80387,0.90965,0.23164,-0.07435,"92.2",174,42.60355029585799,8.284023668639055,5.737704918032787,5.59,-2.99,0.04,2.57,0.332,14,"0.009072165",0.359,0.413,"-0.009072165",-0.032,-0.02699999999999997,-0.048,-0.031,21.5,"34.6",8.659458472943843,0.08813562886070259,30.325807733856287,0.5,37.44639103394223,29.72803465269519
